"RMSE";"Rsquared";"MAE";"Model";"Floor";"Building";"LongLat";"approach"
5,8124317715712;0,90350290750143;4,6361739721903;"glmnet";"F2";"B2";"Lat";"Test&Train"
7,40012793419363;0,924475842881335;5,62640097579734;"glmnet";"F2";"B2";"Long";"Test&Train"
1,7983546513786;0,991073365754428;1,16850454148441;"rf";"F2";"B2";"Lat";"Test&Train"
1,88366288600087;0,995312765869382;1,14125998606599;"rf";"F2";"B2";"Long";"Test&Train"
2,37083924948554;0,983576171807191;1,16820064320674;"knn";"F2";"B2";"Lat";"Test&Train"
3,28289472998525;0,984809518123576;1,27373920089464;"knn";"F2";"B2";"Long";"Test&Train"
7,38758832459362;0,921462265050536;3,82021000656275;"kknn";"F1";"B0";"Lat";"OnlyTrain"
7,51608734597349;0,937447036744865;4,33296414547272;"kknn";"F1";"B0";"Long";"OnlyTrain"
11,2252219220894;0,840754256612487;8,53761265307435;"glmnet";"F1";"B0";"Lat";"OnlyTrain"
10,9490385296955;0,866432701658784;7,76534363596105;"glmnet";"F1";"B0";"Long";"OnlyTrain"
11,0514756116736;0,829910211799409;5,25160077414415;"rf";"F1";"B0";"Lat";"OnlyTrain"
7,83801277659594;0,932310638508601;4,12892235936551;"rf";"F1";"B0";"Long";"OnlyTrain"
3,68184895505711;0,981191678923451;2,07943597059794;"knn";"F1";"B0";"Lat";"OnlyTrain"
5,1777898880747;0,970487813827105;3,03556286504311;"knn";"F1";"B0";"Long";"OnlyTrain"
7,79967941550604;0,945132835373507;4,26751363663748;"kknn";"F2";"B0";"Lat";"OnlyTrain"
8,93912996390844;0,854236622868081;4,44319821580803;"kknn";"F2";"B0";"Long";"OnlyTrain"
11,5736902148567;0,891898132020485;8,04237269193679;"glmnet";"F2";"B0";"Lat";"OnlyTrain"
7,66561089648436;0,88674300501191;5,59428790594472;"glmnet";"F2";"B0";"Long";"OnlyTrain"
4,48358828829917;0,98260889149628;2,84369675100595;"rf";"F2";"B0";"Lat";"OnlyTrain"
5,41605172414354;0,942878511420287;3,31721425507122;"rf";"F2";"B0";"Long";"OnlyTrain"
4,27682002239775;0,983734446929244;2,58661590978131;"knn";"F2";"B0";"Lat";"OnlyTrain"
4,56692470059557;0,961810161192027;2,9601138072067;"knn";"F2";"B0";"Long";"OnlyTrain"
